temps(s)	Ti1	Ti2	Ti3	Ti4	Ti5	To1	To2	To3	Ts1	To5	To4	T1	T2	T3	T4	T5	T_marchepas	T6	T7	T8	T9	T10	T11	T12	T13	diff_pression	Debit(kg/s)	frequence(hz)	pression_statique(pascal)	Ts2
2,000000	19,811348	0,000000	0,000000	0,000000	0,000000	19,706551	19,701506	19,811348	19,624674	19,720629	19,730721	19,720629	20,027414	19,725676	19,880972	20,012274	20,459999	19,809999	340282346638528860000000000000000000000,000000	19,699999	20,150000	20,119999	19,969999	20,059999	20,209999	430,701019	0,000000	20,000000	100926,093750	19,700001
4,000000	19,811348	0,000000	0,000000	0,000000	0,000000	19,711617	19,711617	19,806299	19,619629	19,720629	19,740814	19,720629	20,017323	19,725676	19,880972	20,017323	20,459999	19,809999	340282346638528860000000000000000000000,000000	19,709999	20,150000	20,109999	19,969999	20,059999	20,189999	340282346638528860000000000000000000000,000000	0,000000	20,000000	100430,046875	19,700001
6,000000	19,806299	0,000000	0,000000	0,000000	0,000000	19,716661	19,716661	19,691414	19,619629	19,725676	19,745859	19,715565	20,027414	19,730721	19,875927	20,007208	20,449999	19,809999	340282346638528860000000000000000000000,000000	19,709999	20,150000	20,109999	19,969999	20,059999	20,180000	603,832031	0,000000	20,000000	100234,023437	19,700001
8,000000	19,691414	0,000000	0,000000	0,000000	0,000000	19,716661	19,711617	19,701506	19,619629	19,725676	19,875927	19,705471	20,027414	19,725676	19,745859	20,012274	20,449999	19,809999	340282346638528860000000000000000000000,000000	19,709999	20,150000	20,109999	19,969999	20,049999	20,170000	340282346638528860000000000000000000000,000000	0,000000	20,000000	100142,015625	19,700001
10,000000	19,806299	0,000000	0,000000	0,000000	0,000000	19,716661	19,731821	19,706551	19,624674	19,730721	19,875927	19,705471	20,032461	19,725676	19,875927	20,027414	20,449999	19,830000	340282346638528860000000000000000000000,000000	19,719999	20,139999	20,109999	19,969999	20,039999	20,160000	569,176025	0,000000	20,000000	100098,007812	19,700001
12,000000	19,801254	0,000000	0,000000	0,000000	0,000000	19,907322	19,917437	19,746960	19,624674	19,901176	19,821613	19,710516	20,042574	19,875927	19,921362	19,998379	20,449999	19,920000	340282346638528860000000000000000000000,000000	19,799999	20,139999	20,109999	19,969999	20,039999	20,150000	340282346638528860000000000000000000000,000000	0,000000	20,000000	100074,007812	19,700001
14,000000	19,801254	0,000000	0,000000	0,000000	0,000000	20,018459	20,023508	19,817686	19,764833	19,872116	19,957964	19,730721	20,057714	19,906223	19,862024	20,274878	20,449999	20,059999	340282346638528860000000000000000000000,000000	19,920000	20,139999	20,109999	19,959999	20,029999	20,139999	591,291016	0,000000	20,000000	100070,007812	19,700001
16,000000	19,806299	0,000000	0,000000	0,000000	0,000000	20,159901	20,175062	20,043713	19,790081	20,133471	20,114531	19,886019	19,952919	19,826660	20,057714	20,431450	20,449999	20,219999	340282346638528860000000000000000000000,000000	20,059999	20,139999	20,100000	19,969999	20,039999	20,150000	599,688049	0,000000	20,000000	100062,007812	19,600000
18,000000	19,801254	0,000000	0,000000	0,000000	0,000000	20,296301	20,211718	20,144741	19,705471	20,264784	20,421337	19,916317	19,963013	19,872116	20,128424	20,463032	20,449999	20,369999	340282346638528860000000000000000000000,000000	20,209999	20,150000	20,109999	19,969999	20,109999	20,139999	584,684021	0,000000	20,000000	100058,007812	19,500000
20,000000	19,801254	0,000000	0,000000	0,000000	0,000000	20,363285	20,533749	20,281141	19,880972	20,411243	20,478172	19,936520	19,978170	20,042574	20,079184	20,604458	20,449999	20,500000	340282346638528860000000000000000000000,000000	20,340000	20,150000	20,109999	19,969999	20,139999	20,109999	597,501038	0,000000	20,000000	100058,007812	19,500000
22,000000	19,786097	0,000000	0,000000	0,000000	0,000000	20,660049	20,605793	20,387226	19,936520	20,547615	20,785019	19,826660	19,973125	19,963013	20,264784	20,886032	20,459999	20,650000	340282346638528860000000000000000000000,000000	20,469999	20,160000	20,109999	19,969999	20,180000	20,219999	578,970032	0,000000	20,000000	100054,007812	19,400000
24,000000	19,760847	0,000000	0,000000	0,000000	0,000000	20,801517	20,887428	20,358219	20,002163	20,668848	20,931503	19,841818	19,973125	19,993311	20,310225	20,867115	20,459999	20,779999	340282346638528860000000000000000000000,000000	20,580000	20,160000	20,119999	19,980000	20,209999	20,320000	340282346638528860000000000000000000000,000000	0,000000	20,000000	100054,007812	19,400000
26,000000	19,590393	0,000000	0,000000	0,000000	0,000000	20,818012	21,044067	20,454214	19,947872	20,800163	20,968153	19,862024	19,963013	20,158724	20,375895	20,988367	20,449999	20,879999	340282346638528860000000000000000000000,000000	20,680000	20,160000	20,119999	19,980000	20,250000	20,309999	604,430054	0,000000	20,000000	100054,007812	19,400000
28,000000	19,575235	0,000000	0,000000	0,000000	0,000000	20,979704	21,080767	20,565374	20,148630	20,926455	21,264912	20,002163	19,968079	20,079184	20,436497	21,069195	20,449999	20,969999	340282346638528860000000000000000000000,000000	20,789999	20,170000	20,119999	19,990000	20,289999	20,529999	605,896057	0,000000	20,000000	100054,007812	19,400000
